order_id;shipper_id;customer_id;order_date;status;shipped_date;first_name;last_name;birth_date;phone;address;city;state;points;shipper_name;order_status;id;product_id;quantity;unit_price;name;quantity_in_stock;comments
6;1;6;09/08/2001;3;15/08/2001;Sarina;D'Amore;NULL;136.239.4489;9408 Parisian Port;South Stantonberg;We;4224;Hettinger LLC;Delivered;6;293;11;53.29;CREAM SWEETHEART EGG HOLDER;145;NULL
6;1;6;09/08/2001;3;15/08/2001;Sarina;D'Amore;NULL;136.239.4489;9408 Parisian Port;South Stantonberg;We;4224;Hettinger LLC;Delivered;8006;86;7;69.63;STRING OF STARS CARD HOLDER;84;NULL
7;2;7;14/04/2019;1;NULL;Nichole;Deckow;15/07/1942;(330)805-5031x26391;662 Effie Ford Apt. 252;Lake Annette;Al;3482;Schinner-Predovic;Processed;7;2;5;31.89;CHARLIE & LOLA WASTEPAPER BIN FLORA;149;NULL
7;2;7;14/04/2019;1;NULL;Nichole;Deckow;15/07/1942;(330)805-5031x26391;662 Effie Ford Apt. 252;Lake Annette;Al;3482;Schinner-Predovic;Processed;8007;616;13;71.78;CARD PARTY GAMES;135;NULL
8;3;8;11/11/1995;2;16/11/1995;Florida;Bartell;12/02/1948;329.168.2426x52234;56492 Cole Square;Lake Maverick;Ne;1775;Satterfield LLC;Shipped;8;629;4;75.40;MONEY BOX CONFECTIONERY DESIGN;92;NULL
8;3;8;11/11/1995;2;16/11/1995;Florida;Bartell;12/02/1948;329.168.2426x52234;56492 Cole Square;Lake Maverick;Ne;1775;Satterfield LLC;Shipped;8008;569;12;77.61;LOVE GARLAND PAINTED ZINC;70;NULL
9;4;9;17/10/1988;3;24/10/1988;Jeramie;Stark;NULL;NULL;8287 Kale Brooks Apt. 420;North Colten;Id;3762;Mraz, Renner and Nolan;Delivered;9;139;5;37.91;SET OF 6 VINTAGE NOTELETS KIT;51;NULL
9;4;9;17/10/1988;3;24/10/1988;Jeramie;Stark;NULL;NULL;8287 Kale Brooks Apt. 420;North Colten;Id;3762;Mraz, Renner and Nolan;Delivered;8009;250;6;16.80;TOOL BOX SOFT TOY;57;NULL
10;6;10;02/01/2015;1;NULL;Jannie;Bergnaum;15/07/1935;NULL;748 Ashtyn Field Suite 713;Greenmouth;Ut;395;Dummy;Processed;10;305;1;61.94;RETRO LONGBOARD IRONING BOARD COVER;14;NULL
10;6;10;02/01/2015;1;NULL;Jannie;Bergnaum;15/07/1935;NULL;748 Ashtyn Field Suite 713;Greenmouth;Ut;395;Dummy;Processed;8010;289;6;12.48;FUNKY DIVA PEN;73;NULL
11;1;11;03/02/1974;2;06/02/1974;Jennings;Christiansen;23/10/1940;NULL;2862 Hamill Villages Suite 979;Gideonshire;Ma;1744;Hettinger LLC;Shipped;11;361;15;71.15;CAKE STAND LOVEBIRD 2 TIER WHITE;13;NULL
11;1;11;03/02/1974;2;06/02/1974;Jennings;Christiansen;23/10/1940;NULL;2862 Hamill Villages Suite 979;Gideonshire;Ma;1744;Hettinger LLC;Shipped;8011;698;11;14.44;SWEETHEART WIRE MAGAZINE RACK;0;NULL
12;2;12;28/05/1988;3;06/06/1988;Viviane;Stroman;NULL;NULL;936 Javonte Islands Suite 725;Beierfort;Wa;2895;Schinner-Predovic;Delivered;12;137;3;65.14;TUMBLER, BAROQUE;72;NULL
12;2;12;28/05/1988;3;06/06/1988;Viviane;Stroman;NULL;NULL;936 Javonte Islands Suite 725;Beierfort;Wa;2895;Schinner-Predovic;Delivered;8012;369;11;50.78;PINK/YELLOW FLOWERS HANDBAG;16;NULL
13;6;13;23/02/2001;1;NULL;Dillon;Hauck;02/06/1953;NULL;97120 Carlee Road Suite 541;Gilbertoberg;No;3171;Dummy;Processed;13;354;12;40.99;CHRYSANTHEMUM SKETCHBOOK;20;NULL
13;6;13;23/02/2001;1;NULL;Dillon;Hauck;02/06/1953;NULL;97120 Carlee Road Suite 541;Gilbertoberg;No;3171;Dummy;Processed;8013;501;3;9.52;SILVER DIAMANTE PEN IN GIFT BOX;32;NULL
14;4;14;11/01/2010;2;19/01/2010;Breana;King;NULL;NULL;2915 Sipes Avenue Suite 413;Port Fanny;Ma;2424;Mraz, Renner and Nolan;Shipped;14;606;11;26.84;FLOWER BURST SILVER RING CRYSTAL;137;NULL
14;4;14;11/01/2010;2;19/01/2010;Breana;King;NULL;NULL;2915 Sipes Avenue Suite 413;Port Fanny;Ma;2424;Mraz, Renner and Nolan;Shipped;8014;650;8;22.90;SET OF 3 BLACK FLYING DUCKS;0;NULL
15;5;15;28/02/1995;3;06/03/1995;Jazmin;Nitzsche;15/07/1949;501.954.4282x564;7004 Vella Harbor;Tillmanmouth;Al;2714;Waters, Mayert and Prohaska;Delivered;15;467;3;37.55;PACK OF 20 SKULL PAPER NAPKINS;24;NULL
15;5;15;28/02/1995;3;06/03/1995;Jazmin;Nitzsche;15/07/1949;501.954.4282x564;7004 Vella Harbor;Tillmanmouth;Al;2714;Waters, Mayert and Prohaska;Delivered;8015;246;2;94.25;GREEN CAT FLORAL CUSHION COVER;66;NULL
16;6;16;21/01/2005;1;NULL;Toney;Greenfelder;23/10/1952;NULL;55642 Murl Heights;North Blancheberg;Al;166;Dummy;Processed;16;518;9;9.05;PURPLE GEMSTONE NECKLACE 45CM;134;NULL
16;6;16;21/01/2005;1;NULL;Toney;Greenfelder;23/10/1952;NULL;55642 Murl Heights;North Blancheberg;Al;166;Dummy;Processed;8016;30;12;52.34;12 DAISY PEGS IN WOOD BOX;44;NULL
17;2;17;14/07/1980;2;17/07/1980;Lauren;Waelchi;NULL;7111555464;29617 Nikolaus Wall;Kovacekmouth;So;34;Schinner-Predovic;Shipped;17;440;6;86.21;COSY SLIPPER SHOES SMALL  RED;49;This top is great - lightweight and flattering.
17;2;17;14/07/1980;2;17/07/1980;Lauren;Waelchi;NULL;7111555464;29617 Nikolaus Wall;Kovacekmouth;So;34;Schinner-Predovic;Shipped;8017;159;6;91.71;STRAWBERRY DREAM CHILDS UMBRELLA;101;This top is great - lightweight and flattering.
18;3;18;02/06/1972;3;09/06/1972;Mayra;Rowe;02/06/1947;NULL;949 Rebeka Creek Apt. 826;Lake Audramouth;Id;3057;Satterfield LLC;Delivered;18;642;7;1.28;ROUND SNACK BOXES SET OF 4 FRUITS;39;NULL
18;3;18;02/06/1972;3;09/06/1972;Mayra;Rowe;02/06/1947;NULL;949 Rebeka Creek Apt. 826;Lake Audramouth;Id;3057;Satterfield LLC;Delivered;8018;707;6;96.44;WHITE CHRISTMAS STAR DECORATION;1;NULL
19;6;19;15/10/2012;1;NULL;Paula;Weimann;NULL;NULL;696 Terry Unions;Violethaven;Te;2183;Dummy;Processed;19;392;11;7.19;BATH BUILDING BLOCK WORD;53;NULL
19;6;19;15/10/2012;1;NULL;Paula;Weimann;NULL;NULL;696 Terry Unions;Violethaven;Te;2183;Dummy;Processed;8019;58;5;35.80;BLUE BIRDHOUSE DECORATION;143;NULL
20;5;20;17/01/1991;2;26/01/1991;Antonietta;Schowalter;NULL;+00(7)8459163500;23294 Armstrong Stravenue Suite 675;New Fidel;No;1843;Waters, Mayert and Prohaska;Shipped;20;34;14;45.02;CERAMIC STRAWBERRY MONEY BOX;120;NULL
20;5;20;17/01/1991;2;26/01/1991;Antonietta;Schowalter;NULL;+00(7)8459163500;23294 Armstrong Stravenue Suite 675;New Fidel;No;1843;Waters, Mayert and Prohaska;Shipped;8020;417;1;70.22;WOODEN UNION JACK BUNTING;53;NULL
21;1;21;22/07/1980;3;26/07/1980;Lela;Schimmel;NULL;NULL;172 Bergstrom Station Apt. 458;Lake Wilhelm;Lo;759;Hettinger LLC;Delivered;21;493;1;69.30;SPACEBOY GIFT WRAP;143;NULL
21;1;21;22/07/1980;3;26/07/1980;Lela;Schimmel;NULL;NULL;172 Bergstrom Station Apt. 458;Lake Wilhelm;Lo;759;Hettinger LLC;Delivered;8021;410;12;92.61;HERB MARKER BASIL;141;NULL
22;3;22;06/09/1980;1;NULL;Malcolm;Koepp;NULL;NULL;917 Jackie Mission Suite 130;North Uniquefurt;Or;1122;Satterfield LLC;Processed;22;110;5;81.14;ROMANTIC IMAGES NOTEBOOK SET;69;NULL
22;3;22;06/09/1980;1;NULL;Malcolm;Koepp;NULL;NULL;917 Jackie Mission Suite 130;North Uniquefurt;Or;1122;Satterfield LLC;Processed;8022;50;4;47.01;THREE CANVAS LUGGAGE TAGS;108;NULL
23;3;23;27/07/2017;2;31/07/2017;Jasper;Hermiston;NULL;NULL;3189 Jacobson Plains Apt. 257;North Caitlynland;Io;4493;Satterfield LLC;Shipped;23;573;3;37.77;MAGIC DRAWING SLATE BAKE A CAKE;63;NULL
23;3;23;27/07/2017;2;31/07/2017;Jasper;Hermiston;NULL;NULL;3189 Jacobson Plains Apt. 257;North Caitlynland;Io;4493;Satterfield LLC;Shipped;8023;521;12;81.09;AMETHYST HOOP EARRING FLORAL LEAF;20;NULL
24;4;24;30/11/2003;3;05/12/2003;River;Littel;NULL;NULL;07141 Heathcote Forges;East Ryleighmouth;Il;3277;Mraz, Renner and Nolan;Delivered;24;284;1;8.06;CAST IRON HOOK GARDEN TROWEL;66;NULL
24;4;24;30/11/2003;3;05/12/2003;River;Littel;NULL;NULL;07141 Heathcote Forges;East Ryleighmouth;Il;3277;Mraz, Renner and Nolan;Delivered;8024;201;6;96.87;SET OF 4 NAPKIN CHARMS 3 KEYS;107;NULL
25;6;25;31/08/1979;1;NULL;Rahsaan;Willms;NULL;NULL;240 Desmond Plain;South Marianastad;Di;4544;Dummy;Processed;25;450;12;67.85;ORGANISER WOOD ANTIQUE WHITE;42;NULL
25;6;25;31/08/1979;1;NULL;Rahsaan;Willms;NULL;NULL;240 Desmond Plain;South Marianastad;Di;4544;Dummy;Processed;8025;194;7;84.17;MIRRORED WALL ART TABLE LAMP;91;NULL
26;1;26;30/04/1993;2;03/05/1993;Josephine;Gibson;23/10/1933;604-272-3290x02640;38023 Caroline Walks;Foreststad;Ar;2280;Hettinger LLC;Shipped;26;646;3;43.54;NUMBER TILE COTTAGE GARDEN 1;148;NULL
26;1;26;30/04/1993;2;03/05/1993;Josephine;Gibson;23/10/1933;604-272-3290x02640;38023 Caroline Walks;Foreststad;Ar;2280;Hettinger LLC;Shipped;8026;368;8;73.22;PARTY METAL SIGN;62;NULL
27;2;27;02/11/1989;3;04/11/1989;Emerson;Schultz;NULL;NULL;732 Collier Overpass;North Berenicemouth;Te;4033;Schinner-Predovic;Delivered;27;383;13;31.61;BANK ACCOUNT  GREETING  CARD;147;NULL
27;2;27;02/11/1989;3;04/11/1989;Emerson;Schultz;NULL;NULL;732 Collier Overpass;North Berenicemouth;Te;4033;Schinner-Predovic;Delivered;8027;505;4;66.23;S/4 VALENTINE DECOUPAGE HEART BOX;112;NULL
28;2;28;14/10/1975;1;NULL;Dock;Borer;15/07/1937;1-645-260-6732x1762;628 Della Flat Suite 687;Reyton;So;2336;Schinner-Predovic;Processed;28;724;1;50.49;PINK POLKADOT BOWL;95;NULL
28;2;28;14/10/1975;1;NULL;Dock;Borer;15/07/1937;1-645-260-6732x1762;628 Della Flat Suite 687;Reyton;So;2336;Schinner-Predovic;Processed;8028;672;6;53.64;PACK OF 12 RED RETROSPOT TISSUES;14;NULL
29;4;29;05/07/1981;2;14/07/1981;Hobart;Wintheiser;23/10/1948;NULL;3536 Melba Ville Apt. 200;East Gregorymouth;Ve;3965;Mraz, Renner and Nolan;Shipped;29;222;3;87.18;HEADS AND TAILS SPORTING FUN;100;NULL
29;4;29;05/07/1981;2;14/07/1981;Hobart;Wintheiser;23/10/1948;NULL;3536 Melba Ville Apt. 200;East Gregorymouth;Ve;3965;Mraz, Renner and Nolan;Shipped;8029;345;1;40.98;CRYSTAL DIAMANTE STAR BROOCH;102;NULL
30;5;30;17/07/1998;3;19/07/1998;Tomas;Fritsch;NULL;NULL;313 Kuhn Via Suite 014;West Daishafort;So;2011;Waters, Mayert and Prohaska;Delivered;30;438;12;21.90;CHRISTMAS RETROSPOT HEART WOOD;129;NULL
30;5;30;17/07/1998;3;19/07/1998;Tomas;Fritsch;NULL;NULL;313 Kuhn Via Suite 014;West Daishafort;So;2011;Waters, Mayert and Prohaska;Delivered;8030;457;12;74.62;FAIRY CAKE BIRTHDAY CANDLE SET;57;NULL
31;5;31;27/07/1989;1;NULL;Corbin;Lind;NULL;NULL;3191 McGlynn Knoll;New Duane;Ha;1285;Waters, Mayert and Prohaska;Processed;31;21;10;60.12;WRAP COWBOYS;55;"I love the layered look of this jacket. i got it in navy which matches everything. i think it's a little on the large side for me. i ordered a small. i'm 5'2 130 lbs. super comfortable. the inner layer is very soft. once you wash it, the outside is soft too. i've already worn mine several times. happy."""
31;5;31;27/07/1989;1;NULL;Corbin;Lind;NULL;NULL;3191 McGlynn Knoll;New Duane;Ha;1285;Waters, Mayert and Prohaska;Processed;8031;499;11;65.31;PINK HEART SHAPE PHOTO FRAME;64;"I love the layered look of this jacket. i got it in navy which matches everything. i think it's a little on the large side for me. i ordered a small. i'm 5'2 130 lbs. super comfortable. the inner layer is very soft. once you wash it, the outside is soft too. i've already worn mine several times. happy."""
32;2;32;07/06/1998;2;15/06/1998;Emmie;Abernathy;15/07/1956;NULL;94150 Jarred Burgs;Arnoberg;Wi;1992;Schinner-Predovic;Shipped;32;290;1;46.45;MAKE YOUR OWN PLAYTIME CARD KIT;129;NULL
32;2;32;07/06/1998;2;15/06/1998;Emmie;Abernathy;15/07/1956;NULL;94150 Jarred Burgs;Arnoberg;Wi;1992;Schinner-Predovic;Shipped;8032;375;10;24.03;PARTY INVITES BALLOON GIRL;115;NULL
33;3;33;31/08/1995;3;08/09/1995;Maxine;Crist;NULL;660.801.6904;5543 Hammes Village;Kobeton;De;3025;Satterfield LLC;Delivered;33;639;5;2.27;POLYESTER FILLER PAD 40x40cm;39;"Saw this in store in coral color and new i had to try. love. it's the perfect, cozy cute sweater, color is beautiful and fit is great. i am 5 5 135 lbs and i tried both the small and extra small. i went with the xs for a more flattering fit. i love it."""
33;3;33;31/08/1995;3;08/09/1995;Maxine;Crist;NULL;660.801.6904;5543 Hammes Village;Kobeton;De;3025;Satterfield LLC;Delivered;8033;377;12;77.05;PARTY INVITES SPACEMAN;83;"Saw this in store in coral color and new i had to try. love. it's the perfect, cozy cute sweater, color is beautiful and fit is great. i am 5 5 135 lbs and i tried both the small and extra small. i went with the xs for a more flattering fit. i love it."""
34;6;34;29/10/1997;1;NULL;Payton;Reynolds;NULL;1-047-234-0006x74200;81009 Kub Field Suite 882;Klockoshire;No;725;Dummy;Processed;34;73;5;30.13;MULTICOLOUR  CONFETTI IN TUBE;46;NULL
34;6;34;29/10/1997;1;NULL;Payton;Reynolds;NULL;1-047-234-0006x74200;81009 Kub Field Suite 882;Klockoshire;No;725;Dummy;Processed;8034;8;8;40.41;APPLE GREEN JUMPER;145;NULL
35;5;35;07/03/2004;2;12/03/2004;Kody;Franecki;15/07/1951;1003880770;00824 Mac Flat Apt. 653;Ayanamouth;De;3556;Waters, Mayert and Prohaska;Shipped;35;699;5;14.66;RED SPOT CERAMIC DRAWER KNOB;81;NULL
35;5;35;07/03/2004;2;12/03/2004;Kody;Franecki;15/07/1951;1003880770;00824 Mac Flat Apt. 653;Ayanamouth;De;3556;Waters, Mayert and Prohaska;Shipped;8035;408;13;65.57;HERB MARKER CHIVES;128;NULL
36;1;36;19/02/2013;3;27/02/2013;Loren;Leffler;01/02/1937;(293)680-5677x957;8356 Reinger Keys Suite 177;East Ima;So;2003;Hettinger LLC;Delivered;36;274;9;51.42;LADLE LOVE HEART RED;63;NULL
36;1;36;19/02/2013;3;27/02/2013;Loren;Leffler;01/02/1937;(293)680-5677x957;8356 Reinger Keys Suite 177;East Ima;So;2003;Hettinger LLC;Delivered;8036;519;1;70.39;5 STRAND GLASS NECKLACE BLACK;82;NULL
37;5;37;30/04/1985;1;NULL;Jaqueline;Goodwin;02/06/1941;4148050469;229 Bosco Burgs;New Rachael;Ca;3039;Waters, Mayert and Prohaska;Processed;37;25;7;97.41;PINK B'FLY C/COVER W BOBBLES;94;NULL
37;5;37;30/04/1985;1;NULL;Jaqueline;Goodwin;02/06/1941;4148050469;229 Bosco Burgs;New Rachael;Ca;3039;Waters, Mayert and Prohaska;Processed;8037;617;11;27.77;CARD BILLBOARD FONT;90;NULL
38;3;38;23/10/1971;2;24/10/1971;Patsy;Lesch;NULL;NULL;61016 Patrick Crest;Port Ila;Ok;4000;Satterfield LLC;Shipped;38;50;9;47.01;THREE CANVAS LUGGAGE TAGS;108;NULL
38;3;38;23/10/1971;2;24/10/1971;Patsy;Lesch;NULL;NULL;61016 Patrick Crest;Port Ila;Ok;4000;Satterfield LLC;Shipped;8038;28;1;56.51;5 STRAND GLASS NECKLACE CRYSTAL;138;NULL
39;4;39;11/10/1982;3;17/10/1982;Danielle;Schaefer;NULL;740-360-3160x5641;2630 Jade Inlet Suite 642;New Abdiel;Ca;2738;Mraz, Renner and Nolan;Delivered;39;176;6;3.54;5 HOOK HANGER MAGIC TOADSTOOL;135;"this dress was gifted to me, because i was gawking at it so often. i love it!!! i am petite, 5'3 118 pounds and i could do either the small or extra small. the small was a little more comfortable, because the extra small was a bit tight in the arms-but i went with the extra small anyway. in both cases the neckline showed a small amount of tasteful cleavage and i felt like a model with how many people complimented me on it. many people even took the extra step in compl"""
39;4;39;11/10/1982;3;17/10/1982;Danielle;Schaefer;NULL;740-360-3160x5641;2630 Jade Inlet Suite 642;New Abdiel;Ca;2738;Mraz, Renner and Nolan;Delivered;8039;541;1;6.95;GREEN GEISHA GIRL;9;"this dress was gifted to me, because i was gawking at it so often. i love it!!! i am petite, 5'3 118 pounds and i could do either the small or extra small. the small was a little more comfortable, because the extra small was a bit tight in the arms-but i went with the extra small anyway. in both cases the neckline showed a small amount of tasteful cleavage and i felt like a model with how many people complimented me on it. many people even took the extra step in compl"""
40;1;40;23/12/2018;1;NULL;Dean;Larkin;15/07/1942;NULL;3536 Jacobi Parkways Suite 334;Mayertton;De;3989;Hettinger LLC;Processed;40;731;13;14.19;FROG CANDLE;54;NULL
40;1;40;23/12/2018;1;NULL;Dean;Larkin;15/07/1942;NULL;3536 Jacobi Parkways Suite 334;Mayertton;De;3989;Hettinger LLC;Processed;8040;369;12;50.78;PINK/YELLOW FLOWERS HANDBAG;16;NULL
41;1;41;18/10/2015;2;27/10/2015;Colleen;Sporer;NULL;NULL;5048 Runolfsson Vista;Port Adaline;Fl;1829;Hettinger LLC;Shipped;41;124;13;74.82;PAPERWEIGHT KINGS CHOICE;72;NULL
41;1;41;18/10/2015;2;27/10/2015;Colleen;Sporer;NULL;NULL;5048 Runolfsson Vista;Port Adaline;Fl;1829;Hettinger LLC;Shipped;8041;221;12;39.25;RING OF ROSES BIRTHDAY CARD;11;NULL
42;2;42;26/01/1994;3;27/01/1994;Thalia;Nienow;02/06/1945;+83(4)9482598842;580 Stokes Path Suite 383;North Samanthahaven;Vi;682;Schinner-Predovic;Delivered;42;679;14;61.32;SWALLOWS GREETING CARD;66;NULL
42;2;42;26/01/1994;3;27/01/1994;Thalia;Nienow;02/06/1945;+83(4)9482598842;580 Stokes Path Suite 383;North Samanthahaven;Vi;682;Schinner-Predovic;Delivered;8042;750;13;75.13;HEARTS WRAPPING TAPE;95;NULL
43;6;43;02/11/1984;1;NULL;Terrence;Greenholt;02/06/1942;NULL;96684 Treutel Locks;Americaport;Ne;3950;Dummy;Processed;43;23;3;72.21;CLEAR ACRYLIC FACETED BANGLE;148;it's really a special piece and on sale, very worth it!
43;6;43;02/11/1984;1;NULL;Terrence;Greenholt;02/06/1942;NULL;96684 Treutel Locks;Americaport;Ne;3950;Dummy;Processed;8043;83;8;81.56;HANGING MEDINA LANTERN SMALL;141;it's really a special piece and on sale, very worth it!
44;4;44;06/06/2018;2;09/06/2018;Olga;Barrows;NULL;NULL;6482 Emmy Trafficway Apt. 066;VonRuedenview;Al;2919;Mraz, Renner and Nolan;Shipped;44;326;10;52.55;SET/3 DECOUPAGE STACKING TINS;88;I ordered this dress for my daughter. she wore it to a wedding and it was beautiful. looks just as it does in photo. fabric is a nice weight and hangs great. my daughter had her hair done and look right out of an retailer catalog. well made true to size beautiful dress!!!!!!!
44;4;44;06/06/2018;2;09/06/2018;Olga;Barrows;NULL;NULL;6482 Emmy Trafficway Apt. 066;VonRuedenview;Al;2919;Mraz, Renner and Nolan;Shipped;8044;417;13;70.22;WOODEN UNION JACK BUNTING;53;I ordered this dress for my daughter. she wore it to a wedding and it was beautiful. looks just as it does in photo. fabric is a nice weight and hangs great. my daughter had her hair done and look right out of an retailer catalog. well made true to size beautiful dress!!!!!!!
45;5;45;24/11/1997;3;26/11/1997;General;Lakin;NULL;1-756-454-1111x670;26076 Emard Prairie Suite 593;Leschville;No;1962;Waters, Mayert and Prohaska;Delivered;45;63;4;49.60;PINK UNION JACK  LUGGAGE TAG;62;Feminine and lovely flutters indeed. i am on the fence. i ordered in a petite - had to size down - and something about bust and arm holes not completely right. given the light and airiness of this tank it does not seem right to have to wear a camisole underneath which is what it would need for work wear.
45;5;45;24/11/1997;3;26/11/1997;General;Lakin;NULL;1-756-454-1111x670;26076 Emard Prairie Suite 593;Leschville;No;1962;Waters, Mayert and Prohaska;Delivered;8045;336;10;43.03;WHITE/PINK MINI CRYSTALS NECKLACE;125;Feminine and lovely flutters indeed. i am on the fence. i ordered in a petite - had to size down - and something about bust and arm holes not completely right. given the light and airiness of this tank it does not seem right to have to wear a camisole underneath which is what it would need for work wear.
46;5;46;03/12/1993;1;NULL;Elizabeth;Brown;15/07/1935;079-591-1831x67501;412 Stehr Islands;New Edgar;Lo;2695;Waters, Mayert and Prohaska;Processed;46;83;2;81.56;HANGING MEDINA LANTERN SMALL;141;NULL
46;5;46;03/12/1993;1;NULL;Elizabeth;Brown;15/07/1935;079-591-1831x67501;412 Stehr Islands;New Edgar;Lo;2695;Waters, Mayert and Prohaska;Processed;8046;428;5;85.37;WOODEN HAPPY BIRTHDAY GARLAND;3;NULL
47;2;47;29/01/1980;2;30/01/1980;Paige;Cole;NULL;1-871-303-0399;158 Doug Villages Suite 721;Garryfort;Wi;4925;Schinner-Predovic;Shipped;47;226;4;44.16;SQUARE FLOOR CUSHION VINTAGE RED;7;This dress is adorable - it's a perfect casual look for summer and the quality is nice with the lining (though still overpriced, in my opinion). the tie detail is somewhat adjustable, and i found my normal size s to fit fine (5'7, 128#). where this gets me is the fact that it's dry clean...totally doesn't make sense for a dress that is essentially a fancy tshirt for summer. i might bring it back for that alone, since i originally planned to wear it a lot. :(
47;2;47;29/01/1980;2;30/01/1980;Paige;Cole;NULL;1-871-303-0399;158 Doug Villages Suite 721;Garryfort;Wi;4925;Schinner-Predovic;Shipped;8047;381;9;63.25;RED WOOLY JUMPER;132;This dress is adorable - it's a perfect casual look for summer and the quality is nice with the lining (though still overpriced, in my opinion). the tie detail is somewhat adjustable, and i found my normal size s to fit fine (5'7, 128#). where this gets me is the fact that it's dry clean...totally doesn't make sense for a dress that is essentially a fancy tshirt for summer. i might bring it back for that alone, since i originally planned to wear it a lot. :(
48;3;48;23/06/1974;3;29/06/1974;Rocky;Harris;NULL;(787)803-6035;6171 Ondricka Ports Apt. 287;Elenaport;Ke;696;Satterfield LLC;Delivered;48;132;10;22.76;PINK CHRISTMAS FLOCK DROPLET;61;NULL
48;3;48;23/06/1974;3;29/06/1974;Rocky;Harris;NULL;(787)803-6035;6171 Ondricka Ports Apt. 287;Elenaport;Ke;696;Satterfield LLC;Delivered;8048;621;14;12.39;DISCO BALL ROTATOR BATTERY OPERATED;102;NULL
49;6;49;26/04/2012;1;NULL;Mackenzie;Lowe;15/07/1936;NULL;43509 Elissa Crossing Suite 298;Vicenteside;Il;3061;Dummy;Processed;49;732;15;78.30;VINTAGE RED MUG;62;NULL
49;6;49;26/04/2012;1;NULL;Mackenzie;Lowe;15/07/1936;NULL;43509 Elissa Crossing Suite 298;Vicenteside;Il;3061;Dummy;Processed;8049;459;15;71.07;CUPCAKE LACE PAPER SET 6;43;NULL
50;5;50;10/03/1986;2;12/03/1986;Myrtle;Rau;NULL;+72(7)3050817559;378 Alexandra Estate Suite 420;Kilbacktown;Ne;253;Waters, Mayert and Prohaska;Shipped;50;262;6;32.01;ASSORTED TUTTI FRUTTI SMALL PURSE;73;NULL
50;5;50;10/03/1986;2;12/03/1986;Myrtle;Rau;NULL;+72(7)3050817559;378 Alexandra Estate Suite 420;Kilbacktown;Ne;253;Waters, Mayert and Prohaska;Shipped;8050;434;4;24.90;JUMBO BAG SPACEBOY DESIGN;21;NULL
